0,712,1198,1684,2170,2655,3141,3627,4113,4599,5085,5571,6057,6542,7028,7514,8000,8500,8993,9494,9994,10495,10995,11496,11996,12497,12997,13498,13998,14499,14999,15500,16000
154,257,388,516,645,765,866,947,1044,1149,1260,1376,1484,1598,1710,1818,1931,2034,2149,2251,2365,2480,2595,2713,2826,2956,3089,3243,3384,3544,3712,3872,4048
154,251,373,504,625,744,844,924,1016,1120,1228,1342,1448,1560,1680,1788,1898,2008,2121,2234,2344,2464,2576,2701,2816,2944,3074,3228,3372,3538,3705,3864,4044
